Q8NF67	PF14915;
Q8TE96	PF04408;PF07717;
O75521	PF00887;PF00378;
Q9NR33	PF00808;
Q9HCU8	PF04081;
P61566	PF00517;PF13804;
Q5T2N8	PF00004;PF12037;
Q8TBG4	PF00202;
Q13825	PF00378;
Q15582	PF02469;
A2RUR9	PF14915;PF12001;
Q9P2K1	PF00168;PF15625;PF17661;
Q86VB7	PF00530;
P61769	PF07654;
Q96HJ3	PF13904;
Q8TC20	PF15066;
Q8IV32	PF15374;
P30988	PF00002;PF02793;
Q96AQ1	PF14917;PF14916;
Q52MB2	PF15726;
Q96LT6	PF14953;
Q6ZUS5	PF14988;
P63098	PF13499;
Q5JTW2	PF13516;
Q96G23	PF00046;PF03798;
P61604	PF00166;
Q8N365	PF15673;
D6RIA3	PF15232;
Q8NAA6	PF17711;
P28906	PF06365;
Q16280	PF16526;PF00027;PF00520;
O15247	PF13409;
Q9H8M5	PF00571;PF01595;
P29973	PF16526;PF00027;PF00520;
Q9NRU3	PF00571;PF01595;
P51911	PF00402;PF00307;
Q9NZN8	PF04153;
Q13057	PF01121;PF01467;
Q96B33	PF00822;
P26441	PF01110;
Q9UH73	PF16422;PF16423;PF01833;
O95471	PF00822;
Q9P2B4	PF09727;
Q6UUV7	PF12886;PF12885;PF12884;
Q9H3G5	PF00450;
P09603	PF05337;
P13073	PF02936;
P24903	PF00067;
P22792	PF13855;
Q5VWQ8	PF00168;PF12004;PF00616;
Q9HCS2	PF00067;
P99999	PF00034;
P52569	PF13520;PF13906;
Q30KQ6	PF13841;
A0PJW8	PF15228;
Q9NVH1	PF00226;PF11875;
Q9BVM2	PF14913;
Q9UBM7	PF01222;
Q9P2X0	PF08285;
Q8WXX0	PF12774;PF12780;PF12781;PF17857;PF18198;PF08393;PF17852;PF18199;PF03028;PF12777;
Q8TE73	PF12774;PF12780;PF12781;PF17857;PF18198;PF08385;PF08393;PF17852;PF18199;PF03028;PF12777;
P0CJ85	PF00046;
Q86UW9	PF18102;PF02825;PF00097;
Q92527	PF12796;
O95433	PF09229;PF08327;
Q96NW4	PF00023;PF12796;PF02204;
Q8N726	PF07392;
Q9BPW4	PF05461;
Q8IZ07	PF11904;
Q6Q788	PF01442;
Q9UKU9	PF00147;
P28039	PF00657;PF03489;
Q6PL18	PF00004;PF17862;PF00439;
Q04656	PF00403;
P62324	PF07742;
O14503	PF07527;PF00010;
Q6UXG8	PF13765;PF00622;PF07686;
Q9HBH7	PF04538;
Q5PSV4	PF08598;
Q7Z5Y6	PF00019;PF00688;
P02745	PF00386;PF01391;
P17213	PF01273;PF02886;
Q15059	PF17035;PF00439;
P25440	PF17035;PF00439;
Q8N4F0	PF01273;PF02886;
O75531	PF02961;
Q8WXS5	PF00822;
Q86X55	PF11531;
H3BNL1	PF15115;
Q9P1Z9	PF14643;PF14644;
P55286	PF00028;PF01049;
Q49A92	PF17824;
O14647	PF18375;PF00385;PF13907;PF00271;PF00176;
Q15642	PF00611;PF00018;
Q96MT7	PF00400;
P11597	PF01273;PF02886;
P51685	PF00001;
P28907	PF02267;
Q8IYR0	PF12018;
A6NFT4	PF13863;
O95833	PF13417;
P02461	PF01410;PF01391;PF00093;
Q7Z7L8	PF15766;
Q8IYJ2	PF15821;PF15852;
Q7Z460	PF12348;
Q9NX09	PF07809;
P19113	PF00282;
Q5VW00	PF00400;
O14576	PF11540;PF00400;
O95786	PF16739;PF00270;PF00271;PF18119;PF11648;
P81605	PF15291;
P11926	PF02784;PF00278;
Q15038	PF11029;
Q5T197	PF07782;
Q9UIK4	PF00069;
Q9UN19	PF00169;PF00017;
Q99543	PF00226;PF00249;PF16717;
Q6P3W2	PF00226;PF05207;
O94907	PF04706;
Q9Y2E4	PF00501;PF06464;
P09417	PF00106;
Q9NZJ0	PF00400;
Q9H4G0	PF05902;PF08736;PF09380;PF00373;PF09379;PF04382;
Q9NP58	PF00664;PF00005;PF16185;
Q8N961	PF12796;PF00651;
Q8WWZ4	PF00005;
U3KPV4	PF03414;
Q15027	PF12796;PF01412;PF00169;
Q86TX2	PF08840;PF04775;
P16219	PF00441;PF02770;PF02771;
P47898	PF00001;
A5X5Y0	PF02931;PF02932;
P78363	PF00005;
P42025	PF00022;
P10109	PF00111;
P12814	PF00307;PF08726;PF00435;
Q9Y672	PF03155;
O60218	PF00248;
Q9NR19	PF16177;PF00501;PF13193;
Q9UEY8	PF00596;
Q9P0M2	PF10469;PF10470;
O43299	PF14764;
Q4KMQ2	PF16178;PF04547;
Q8N283	PF00023;PF12796;
Q92667	PF00013;PF00567;
Q9NXR5	PF12796;
E5RJM6	PF12796;
O15143	PF00400;
Q02410	PF00595;PF00640;
Q9P2S6	PF00023;PF12796;PF02493;PF01753;
O95671	PF16864;PF02545;PF00891;
Q96KQ4	PF12796;PF00018;
Q9NWL6	PF00733;
P54707	PF00689;PF00690;
Q8N9N2	PF10469;PF00013;
O75185	PF00689;PF00690;
Q14457	PF04111;PF17675;PF15285;
Q8N4J0	PF07942;
Q7LBR1	PF03357;
Q96KN9	PF00029;
Q9NWM3	PF02845;
Q9GZR7	PF00270;PF00271;
O43602	PF03607;
Q9NR90	PF00076;
Q1HG44	PF10204;
Q1HG43	PF10204;
Q12959	PF00625;PF09058;PF10608;PF00595;PF10600;PF00018;
Q96HP0	PF06920;PF14429;PF11878;
Q9BSY9	PF05903;
Q9H329	PF08736;PF09380;PF00373;PF09379;
P0DKL9	PF14949;
Q15067	PF01756;PF02770;PF14749;
Q9NX38	PF01597;
Q676U5	PF08614;PF00400;
Q9NUZ1	PF01756;PF00441;PF02770;
O00400	PF13000;
P07327	PF08240;PF00107;
P33121	PF00501;PF13193;
P28332	PF08240;PF00107;
Q9H4A4	PF09127;PF01433;
Q8IUX7	PF00754;PF00246;
Q9UHX3	PF00002;PF07645;PF01825;
Q86SQ3	PF00002;PF07645;PF01825;
Q9HAR2	PF00002;PF16489;PF02140;PF01825;PF02793;PF02354;PF02191;
P78536	PF16698;PF00200;PF01562;
A6NHY2	PF12796;
Q9H9E1	PF12796;
Q9BYV1	PF00202;
Q8N4G2	PF00025;
Q8IWT0	PF01951;
Q7Z6V5	PF14437;
Q8NFD5	PF01388;PF12031;
Q92485	PF00149;
Q7L266	PF01112;
Q9H7T9	PF15334;
Q8TE56	PF17771;PF05986;PF01562;PF01421;PF00090;
O43521	PF08945;PF06773;
Q6NZY7	PF14957;PF00786;
Q9P203	PF07707;PF00651;
O43683	PF08311;PF00069;
O60238	PF06553;
O95861	PF00459;
Q9NY43	PF00046;
P80098	PF00048;
Q9H0E9	PF00439;
P45973	PF00385;PF01393;
P55773	PF00048;
Q9BX69	PF00619;
P47756	PF01115;
Q5VVC0	PF15162;
A8MX76	PF01067;PF00648;
O15484	PF01067;PF00648;
Q9UNI1	PF00089;
P19397	PF00335;
P10966	PF07686;
Q96LM5	PF15123;
Q13956	PF04868;
Q00610	PF00637;PF09268;PF01394;
O95406	PF03311;
Q4W5N1	PF00005;
P31946	PF00244;
P46098	PF02931;PF02932;
Q4L235	PF00501;PF00550;PF13360;PF13570;
P07311	PF00708;
Q9UKU0	PF00501;
P51828	PF16214;PF06327;PF00211;
P00813	PF00962;
P78325	PF08516;PF00200;PF01562;PF01421;
P24588	PF03832;
Q8NB46	PF00023;PF12796;
O95154	PF00248;
P17342	PF01094;
P08133	PF00191;
A6NGH8	PF12796;
P59780	PF01217;
Q9NUS5	PF15001;
Q96BJ3	PF14186;PF08910;
Q68CP9	PF01388;PF02257;
Q8WXG9	PF00002;PF03160;PF03736;
A5PLL1	PF12796;
Q7L4S7	PF04826;
Q8NBQ7	PF00230;
Q69YU3	PF12796;
P61158	PF00022;
P82987	PF07679;PF08686;PF00090;
Q86WG3	PF12496;PF13716;
Q9ULK2	PF08313;
Q8WWH4	PF00023;PF12796;PF07647;
Q07817	PF00452;PF02180;
Q9BWV1	PF00041;PF07679;PF00047;
O14613	PF14957;PF00786;
Q00587	PF14957;PF00786;
Q6ZSU1	PF00067;
P54132	PF08072;PF16204;PF16202;PF00270;PF00271;PF00570;PF16124;PF09382;
P78396	PF02984;PF00134;
Q14032	PF08840;PF04775;
Q8IVL8	PF00246;
O60359	PF00822;
Q96S94	PF02984;PF00134;
Q6UXH8	PF01391;PF07645;
P00915	PF00194;
P25067	PF00386;PF01391;
Q8TAZ6	PF01284;
O75508	PF00822;
A8MTZ7	PF15480;
Q8TEF2	PF17665;
Q96S95	PF15170;
Q96A83	PF01391;PF07546;
Q8WYN3	PF16019;
Q6UX04	PF00160;
P16410	PF07686;
Q14118	PF18424;PF05454;
P35659	PF08766;
Q8IV53	PF03455;PF02141;PF03456;
P59666	PF00323;PF00879;
Q6RW13	PF06396;
Q8NBF6	PF09794;
Q9UKP5	PF17771;PF05986;PF01562;PF08686;PF01421;PF00090;
P16278	PF13364;PF01301;
Q8NFJ9	PF14779;
P55957	PF06393;
P46379	PF12057;PF00240;
Q7Z5L3	PF00386;PF01391;
Q16581	PF00001;
O75909	PF02984;PF00134;
O95067	PF02984;PF00134;
Q13112	PF15512;PF00400;
Q86UP0	PF00028;PF01049;
Q5JPI3	PF15008;
P06881	PF00214;
Q9HD42	PF03357;
Q99643	PF01127;
Q5VTT2	PF15139;
A6H8M9	PF00028;
O60563	PF00134;
O95170	PF00400;
P21854	PF00059;
Q96N23	PF14858;
Q49AH0	PF10208;
O14519	PF09806;
O76039	PF00069;
O14967	PF00262;
P51788	PF00654;
P13671	PF00057;PF01823;PF00084;PF00090;
Q96A22	PF15147;
Q9Y271	PF00001;
Q8N6V4	PF15092;
Q6PI97	PF17664;
Q05048	PF16699;PF00400;
Q96S65	PF16019;
Q8WW18	PF15470;
Q9UBW8	PF18392;PF01399;
Q6JBY9	PF15255;PF05177;
P43320	PF00030;
Q32NC0	PF15719;
Q17RW2	PF01410;PF01391;PF02210;
P0DML2	PF00103;
Q6PUV4	PF05835;
Q6UW02	PF00067;
Q5T3F8	PF14703;PF02714;PF13967;
P01036	PF00031;
Q9NTM9	PF03932;
A6NKP2	PF01073;
Q6YFQ2	PF02297;
P35212	PF00029;
Q9HCG8	PF02847;
Q9UJW0	PF05502;
Q99259	PF00282;
Q30KQ4	PF13841;
A8MXU0	PF13841;
O95822	PF05292;PF17408;
Q8IZD4	PF06058;PF16741;
P59910	PF00226;PF01556;
Q8IXB1	PF00226;PF00085;
P37059	PF00106;
P18858	PF04679;PF01068;PF04675;
Q13609	PF03372;
Q8WXX5	PF00226;
Q9H7D0	PF06920;PF14429;PF16172;PF00018;
Q7L591	PF02174;
O75907	PF03062;
Q14562	PF04408;PF00271;PF07717;PF00575;
Q86TL0	PF03416;
P07307	PF00059;
Q01814	PF12424;PF00689;PF00690;
Q13510	PF02275;PF15508;
Q9NW68	PF03909;
Q12983	PF06553;
Q14692	PF08142;PF04950;
Q6P047	PF14769;
Q9UMQ6	PF01067;PF00648;
Q9Y232	PF00385;PF00378;
Q9H5F2	PF06608;
Q9BQM9	PF15318;
B7Z368	PF17713;
Q9UQC9	PF08434;
Q10570	PF03178;
Q92905	PF18323;PF01398;
A8MV24	PF15075;
Q8N9M1	PF17740;
P61923	PF01217;
P33260	PF00067;
Q96JB2	PF04136;
Q14061	PF05051;
P49447	PF03188;
O75553	PF00640;
Q15438	PF00169;PF01369;
Q8IWT3	PF03256;PF11515;PF00888;PF01485;
Q9UIA0	PF00169;PF01369;
Q9H7T0	PF15149;
P0DP73	PF00711;
Q7Z388	PF10034;
P00156	PF00032;PF00033;
Q13617	PF00888;PF10557;
P14406	PF02238;
O60931	PF04193;
Q6PD62	PF13181;
P78358	PF09341;
Q8IWF6	PF09794;
Q9P2X7	PF15859;
Q9UKB3	PF00226;
Q5F1R6	PF00226;PF12171;
Q8NF50	PF06920;PF14429;PF11878;
Q09013	PF08826;PF00069;
Q8TDM6	PF00625;PF00595;PF17820;PF04822;
P56179	PF00046;
Q9NPC4	PF04572;PF04488;
Q9NUQ8	PF00005;PF12848;
P08195	PF00128;PF16028;
P28566	PF00001;
O95264	PF02931;PF02932;
Q99798	PF00330;PF00694;
P31947	PF00244;
Q8NB90	PF00004;PF17862;
Q8WXI4	PF03061;PF01852;
Q8TDG2	PF00022;
P42568	PF17793;PF03366;
Q0VDE8	PF15202;
P62736	PF00022;
Q86UN6	PF14469;
Q5JQC9	PF05716;PF10522;
Q86SG2	PF12796;PF13606;
Q7Z628	PF00169;PF00621;
Q7Z2E3	PF17913;PF16278;
Q5H913	PF00025;
Q8WZ64	PF01412;PF00169;PF00788;PF00620;PF00536;
Q8WWN8	PF01412;PF00169;PF00788;PF00620;PF07647;
Q8NHH9	PF02263;PF02841;
O15265	PF08313;
Q96G97	PF06775;
Q5W0U4	PF13765;PF00622;
Q6W2J9	PF12796;PF15808;PF16553;
Q9H6U6	PF12490;
O75815	PF00617;PF00017;
Q9H694	PF00013;PF00536;
Q8NFJ8	PF00010;
P02747	PF00386;PF01391;
O00622	PF00007;PF00219;PF00093;
Q969G5	PF15237;
Q8N4L8	PF15669;
O95561	PF15081;
Q8NDD1	PF15375;
Q8IWD4	PF15810;
P33151	PF00028;PF01049;
Q9Y2D0	PF00194;
Q96CF2	PF03357;
Q8N6W0	PF00076;
Q9UEE9	PF07572;
Q8N884	PF03281;
Q9H7E9	PF15393;
O75596	PF00059;
P82279	PF00008;PF12661;PF02210;
Q5W188	PF00031;
Q9NZV1	PF02822;PF00219;PF00093;
Q9Y6V7	PF00270;PF00271;
Q96PD2	PF00431;PF00754;PF03815;
Q9UER7	PF03344;
Q9UDY4	PF00226;PF01556;
P20036	PF07654;PF00993;
P16444	PF01244;
P14061	PF00106;
Q9NQL9	PF00751;PF03474;
Q92608	PF06920;PF14429;PF16172;
Q96SE0	PF00561;
Q15057	PF12796;PF01412;PF00169;
Q8N9L9	PF08840;PF04775;
Q9UNQ0	PF01061;PF00005;
Q96P50	PF01412;PF00169;
Q9H2F3	PF01073;
Q5SQ80	PF12796;PF14915;
P34969	PF00001;
Q16537	PF01603;
P55196	PF01843;PF00498;PF00595;PF00788;
O95573	PF00501;
O95081	PF01412;
Q9NUN7	PF05875;
P37023	PF07714;PF08515;
P31751	PF00169;PF00069;PF00433;
Q7Z4H4	PF00214;
Q5T1N1	PF12443;
P15144	PF11838;PF01433;
P14550	PF00248;
P25054	PF05972;PF05956;PF16689;PF05923;PF18797;PF00514;PF05937;PF05924;
P02656	PF05778;
O43747	PF01602;PF02883;
P62330	PF00025;
O75143	PF10033;
P78348	PF00858;
Q9NVT9	PF00514;
O95704	PF00640;
Q9UN42	PF00287;
O94823	PF16212;PF16209;
P18848	PF00170;
Q9Y2G3	PF16212;PF16209;
O95450	PF17771;PF05986;PF01562;PF01421;PF00090;
O15072	PF17771;PF05986;PF01562;PF01421;PF00090;
Q8TE57	PF17771;PF05986;PF01562;PF08686;PF01421;PF00090;
O75061	PF00226;PF10409;
P06576	PF00006;PF02874;
P18859	PF05511;
Q9BSF8	PF16017;
Q13867	PF03051;
Q9NY30	PF07742;
Q53TS8	PF15729;
O95429	PF02179;
P04040	PF00199;PF06628;
O96024	PF01762;
Q6ZNE5	PF10186;
Q9H9S4	PF08569;
P16152	PF00106;
Q9NYX4	PF06387;
Q8N5C1	PF14798;
P57796	PF00036;PF13499;
Q96LZ3	PF13499;
O14569	PF03188;
Q49AR2	PF12640;
O15182	PF13499;
Q9GZX3	PF00685;
Q9UNE7	PF18391;PF04564;
Q8NCH0	PF03567;
Q15762	PF07686;
P49336	PF00069;
Q5ZPR3	PF07686;
H3BRN8	PF14892;
O96005	PF05602;
P49760	PF00069;
Q6UXG3	PF07686;
P20849	PF01391;
Q9BUJ0	PF12697;
Q13085	PF08326;PF02785;PF00289;PF00364;PF01039;PF02786;
Q9NRA8	PF10477;
P43681	PF02931;PF02932;
P62258	PF00244;
Q04844	PF02931;PF02932;
P43652	PF00273;
Q8TCU4	PF15309;PF18727;
Q8WWZ7	PF00005;
Q08AH1	PF00501;PF13193;
Q7Z695	PF03109;
Q99218	PF02948;
O43306	PF16214;PF06327;PF00211;
Q2TAA5	PF15924;PF00534;
Q9BZ11	PF08516;PF00200;PF01562;PF01421;
P58335	PF05586;PF05587;PF00092;
Q7L311	PF04826;
O75179	PF00023;PF12796;PF00013;
P53680	PF01217;
Q96DR7	PF00621;PF14604;
P05089	PF00491;
Q63HQ0	PF15745;
A6NCL7	PF12796;
P61160	PF00022;
Q9GZV1	PF12796;
Q9Y679	PF02845;
P58397	PF17771;PF05986;PF01562;PF01421;PF00090;
P20648	PF00689;PF00690;PF09040;
Q9NYF8	PF15440;
Q96Q07	PF07707;PF00651;PF00754;
Q8ND07	PF14988;
Q13075	PF00653;PF05729;PF17889;PF17779;
Q9H0C5	PF07707;PF00651;PF08005;
Q6UXY1	PF08397;PF14604;
Q5TH69	PF16213;PF09324;
Q6UB35	PF01268;PF00763;PF02882;
Q92560	PF01088;PF18031;
Q67FW5	PF00535;
Q6Y288	PF02434;
Q9UQB8	PF08397;PF14604;
Q99728	PF12796;PF14835;
Q53HC0	PF14916;
Q6NZI2	PF15237;
Q6PII3	PF13300;
Q96KX2	PF01267;
Q9BWT7	PF00619;
Q5JVX7	PF15078;
P55285	PF00028;PF01049;
Q9P296	PF00001;
Q6ZUL3	PF17707;
Q96MH7	PF15016;PF15025;
Q96BP2	PF06747;
P29372	PF02245;
P42684	PF08919;PF07714;PF00017;PF00018;
P29275	PF00001;
Q9H2A2	PF00171;
Q9BZC7	PF00005;
P51826	PF05110;
Q5QJU3	PF05875;
Q86TW2	PF03109;
O75891	PF00171;PF02911;PF00551;PF00550;
Q13444	PF08516;PF00200;PF01562;PF01421;
Q9BY15	PF00002;PF07645;PF16489;PF01825;
Q8N4T4	PF00621;
Q9Y653	PF00002;PF18619;PF01825;PF18587;
P10275	PF02166;PF00104;PF00105;
Q8N9B4	PF12796;
P27338	PF01593;
Q9NQ90	PF16178;PF04547;
Q86YJ7	PF12796;PF11904;
O95782	PF01602;PF02296;PF02883;
Q96BM9	PF00025;
Q92482	PF00230;
Q5H9R4	PF04826;
Q9H1Y0	PF04106;
Q8TBH0	PF02752;PF00339;
Q9HBZ2	PF00010;PF00989;PF08447;
Q9UBB4	PF09759;
P25705	PF00006;PF00306;PF02874;
Q8WXX7	PF15336;
Q9UMX3	PF00452;
Q5XKL5	PF00651;
P13497	PF01400;PF00431;PF07645;
P34820	PF00019;PF00688;
A8MVZ5	PF07686;
Q8NFL0	PF01762;
Q8NDL9	PF18027;PF00246;
O95388	PF00007;PF00219;PF00090;PF00093;
Q8N6N3	PF15559;
Q3MIR4	PF03381;
Q9BXL6	PF00619;PF00625;
P27824	PF00262;
P19022	PF00028;PF01049;PF08758;
Q9BWT1	PF10497;
Q9UKY3	PF00135;
Q9UKY7	PF15359;
Q9C0C6	PF15800;
P51679	PF00001;
Q9BWS9	PF00704;
Q8IX05	PF00059;
P86790	PF08217;
Q6ZRI6	PF17663;
P06127	PF00530;
Q8N7R7	PF00134;
P20963	PF02189;PF11628;
Q9NZA1	PF13417;
Q14028	PF00027;
P01009	PF00079;
Q9NYB9	PF07815;PF14604;
P19652	PF00061;
Q9NUJ1	PF00561;
O95870	PF00561;
Q9UNA3	PF04572;PF04488;
Q96GR2	PF00501;
Q8IZP0	PF07815;PF00018;
Q9Y478	PF16561;PF04739;
Q13685	PF00400;
Q86V21	PF16177;PF00501;
Q86TB3	PF02816;PF07679;
P63261	PF00022;
Q7Z591	PF12443;
Q5I7T1	PF04922;
Q15848	PF00386;PF01391;
Q9NX46	PF03747;
Q96IZ2	PF04750;
Q9NUB1	PF16177;PF00501;PF13193;
Q12904	PF01588;
P13945	PF00001;
Q6NS38	PF13532;
P23109	PF00962;
Q3SY69	PF00171;PF02911;PF00551;PF00550;
A6NC57	PF14915;
P36404	PF00025;
Q8N100	PF00010;
Q2TB18	PF12813;PF00752;
P18850	PF00170;
Q9HD36	PF00452;
Q96P09	PF00653;
Q9BXJ0	PF00386;PF01391;
Q76B58	PF01823;
Q8TDN6	PF04427;
Q5VWW1	PF00386;PF01391;
Q5U5Z8	PF18027;PF00246;
P23560	PF00243;
Q9HA82	PF00046;PF03798;
P30260	PF00515;PF13181;
Q9Y2R0	PF09813;
P50613	PF00069;
Q9HAZ1	PF00069;
Q9UIV1	PF04857;
Q9UBD9	PF06875;
Q9UQ52	PF00041;PF07679;
P0DMV0	PF15300;
O43186	PF00046;PF03529;
Q96HD1	PF11938;PF07645;
Q8NFV4	PF12697;
Q8N0Z2	PF14705;
Q9H221	PF01061;PF00005;
Q13362	PF01603;
O60516	PF05456;
Q9Y312	PF05282;
P11171	PF05902;PF08736;PF09380;PF00373;PF09379;PF04382;
P08319	PF08240;PF00107;
Q8N5Z0	PF00155;
Q86WK7	PF13855;
P54922	PF03747;
P11766	PF08240;PF00107;
O95076	PF00046;
Q86SJ2	PF00047;PF00560;PF13855;
P31749	PF00169;PF00069;PF00433;
Q8TC27	PF08516;PF00200;PF01562;PF01421;
P05091	PF00171;
Q8NCV1	PF02137;PF00035;
Q9H0R1	PF00928;
Q9Y4B4	PF00271;PF00176;
P27216	PF00191;
Q9ULZ1	PF15360;
Q8TF21	PF00023;PF12796;
Q9ULJ7	PF12796;
Q6T311	PF00025;
Q9P2R3	PF00023;PF12796;PF00651;PF01363;
Q8N7Z5	PF00023;PF12796;PF18755;
P30556	PF00001;
P84085	PF00025;
Q3SXY8	PF00025;
P13637	PF00689;PF00690;
P54253	PF12547;PF08517;
Q8WXS8	PF17771;PF05986;PF01562;PF01421;PF00090;
Q8N143	PF00651;PF00096;
Q96G01	PF09730;
Q13323	PF12201;
P12645	PF00019;PF00688;
Q86Z23	PF00386;
Q4AC94	PF00168;
O43825	PF01762;
Q13901	PF04000;
Q6ZUT6	PF15266;
P30279	PF02984;PF00134;
P48745	PF00007;PF00219;PF00093;
P47755	PF01267;
O60512	PF02709;PF13733;
Q13634	PF00028;PF01049;
Q9H425	PF15797;
Q96GE6	PF13499;
P20807	PF01067;PF13202;PF00648;
P09093	PF00089;
Q96JP9	PF00028;
Q9NPB3	PF00036;PF13499;
P11802	PF00069;
P45954	PF00441;PF02770;PF02771;
Q07912	PF09027;PF11555;PF07714;PF14604;
P27348	PF00244;
Q9NS82	PF13520;
P43353	PF00171;
Q8IY63	PF12240;
P68133	PF00022;
P35858	PF13855;PF01462;
P22570	PF07992;
Q68CK6	PF00501;PF13193;
Q96M93	PF02137;PF00035;
Q9UKQ2	PF08516;PF00200;PF01562;PF01421;
Q01433	PF00962;
Q9UM73	PF00629;PF07714;
Q6ZNB7	PF04116;
Q9NZD4	PF09236;
P35612	PF00596;
P84077	PF00025;
P01008	PF00079;
O15033	PF00630;PF00632;
Q9NU02	PF00023;PF12796;
A6NL99	PF00230;
P41181	PF00230;
Q9NWB6	PF15346;
P07306	PF00059;
Q9H981	PF00022;
P08243	PF00733;PF13537;
O15145	PF04062;
Q3KR37	PF02893;PF16016;
Q9Y2D1	PF00170;
P18846	PF00170;PF02173;
O14874	PF10436;PF02518;
Q13490	PF00653;PF00619;
Q96KE9	PF07707;PF00651;PF08005;
Q9NR09	PF00653;PF12356;PF00179;
O75973	PF00386;PF01391;
C9JSJ3	PF00010;PF00505;
Q7RTS1	PF00010;
Q9NWD9	PF04538;
P51587	PF09169;PF09103;PF09104;PF00634;PF09121;
O94766	PF03360;
Q9NZT1	PF13499;
Q9NV96	PF03381;
P35520	PF00571;PF00291;
Q9H257	PF00619;
O95813	PF03045;
